Company,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rebates,True Outstanding Loan Value,True Payment Status
ABF,DSB2676-003,2025-04-04,16.97,459,USD,385.21,45.9,4.38,,5.97,0.57,0.0,0,Late
ABF,DSB1495-001,2024-03-08,132.98,"1,216.4",USD,"1,028.06",43.79,5.2,,5.69,0.68,0.0,0,On Time
ABF,DSB2408-003,2024-11-29,146.91,"1,401.78",USD,"1,185.76",56.07,5.09,,7.29,0.66,0.0,0,On Time
ABF,DSB0200-020,2023-03-30,16.59,186.45,USD,157.69,10.07,0.7,,1.31,0.09,0.0,0,Prepayment
ABF,DSB0467-013,2023-06-26,164.98,"2,007.08",USD,"1,695.16",120.42,9.61,,15.66,1.25,0.0,0,Prepayment
ABF,DSB2876-001,2025-07-30,0,850,USD,703.38,127.5,2.26,,16.57,0.29,0.0,16.57,Late
ABF,DSB0243-002,2023-05-16,7.46,201.6,USD,169,20.16,2.09,,2.62,0.27,0.0,0,Prepayment
ABF,DSB1099-003,2023-12-18,5.23,"1,270.08",USD,"1,149.81",96.53,5.28,,12.55,0.69,0.0,0,Prepayment
ABF,DSB1099-004,2023-12-18,3.68,892.64,USD,808.11,67.84,3.71,,8.82,0.48,0.0,0,Prepayment
ABF,DSB3021-001,2025-06-23,0,"3,051.79",USD,"2,961.03",35.14,45.18,,4.57,5.87,0.0,0,Prepayment
ABF,DSB1166-002,2023-12-29,32.2,"1,000",USD,895.31,60,4.15,,7.8,0.54,0.0,0,Prepayment
ABF,DSB1078-001,2023-11-07,88.63,728,USD,608.8,18.2,8.85,,2.37,1.15,0.0,0,On Time
ABF,DSB0065-008,2023-02-25,47.68,535.91,USD,453.37,28.94,1.91,,3.76,0.25,0.0,0,On Time
ABF,DSB1703-017,2024-05-31,9.09,132.6,USD,112.29,9.55,0.38,,1.24,0.05,0.0,0,On Time
ABF,DSB0824-006,2023-09-09,0,297,USD,279.13,11.88,3.94,,1.54,0.51,0.0,311.42,Prepayment
ABF,DSB2003-004,2024-10-02,0,373.41,USD,333.74,33.61,1.5,,4.37,0.19,0.0,4.37,Prepayment
ABF,DSB2534-002,2024-12-23,40.44,820,USD,742.7,29.52,3.1,,3.84,0.4,0.0,0,Prepayment
ABF,DSB2141-005,2024-09-27,135.3,"1,520.59",USD,"1,287.26",82.11,4.64,,10.67,0.6,0.0,0,Prepayment
ABF,DSB2160-050,2024-09-23,38.57,433.5,USD,366.85,23.41,1.44,,3.04,0.19,0.0,0,On Time
ABF,DSB2125-002,2024-08-14,41.27,339,USD,284.24,8.47,3.46,,1.1,0.45,0.0,0,Prepayment
ABF,DSB2147-001,2024-09-13,977,"9,322.5",USD,"7,894.12",372.9,26.55,,48.48,3.45,0.0,0,Prepayment
ABF,DSB0639-001,2023-08-30,0,"1,128.96",USD,"1,007.39",101.61,5.97,,13.21,0.78,0.0,13.22,Prepayment
ABF,DSB1054-003,2023-11-23,35.74,434.76,USD,365.34,26.09,3.72,,3.39,0.48,0.0,0,On Time
ABF,DSB2357-005,2025-01-03,0,960.5,USD,859.63,86.44,2.82,,11.24,0.37,0.0,11.24,Prepayment
ABF,DSB2218-019,2024-10-21,25.16,282.66,USD,239.71,15.26,0.48,,1.98,0.06,0.0,0,Late
ABF,DSB2062-003,2024-10-21,0,464.8,USD,386.02,69.72,0.0,,9.06,0,0.0,8.65,Late
ABF,DSB0194-011,2023-03-17,243.05,"4,928",USD,"4,468.81",177.41,13.87,,23.06,1.8,0.0,0,On Time
ABF,DSB0647-001,2023-08-15,63.14,768.14,USD,649.24,46.09,3.26,,5.99,0.42,0.0,0,On Time
ABF,DSB0012-007,2023-02-04,33.34,374.6,USD,316.46,20.23,1.72,,2.63,0.22,0.0,0,On Time
ABF,DSB0733-006,2023-09-30,0,"1,012.8",USD,907.39,91.15,2.13,,11.85,0.28,0.0,11.85,Prepayment
ABF,DSB1909-004,2024-07-15,18.6,209.1,USD,177.15,11.29,0.52,,1.47,0.07,0.0,0,Late
ABF,DSB1895-043,2024-07-15,35.78,402.08,USD,340.11,21.71,1.47,,2.82,0.19,0.0,0,On Time
ABF,DSB0305-003,2023-04-12,905.89,"7,440.53",USD,"6,300.58",186.01,21.12,,24.18,2.75,0.0,0,Prepayment
ABF,DSB1221-020,2024-01-08,60.94,684.97,USD,579.82,36.99,2.13,,4.81,0.28,0.0,0,On Time
ABF,DSB0303-003,2023-04-28,24.66,450,USD,402.77,18,1.97,,2.34,0.26,0.0,0,On Time
